% id nnzA 
2338 1174 
2559 1514 
335 1847 
267 1255 
266 2053 
2015 2400 
269 1966 
824 3019 
2560 3170 
257 1743 
270 2604 
450 3235 
451 3734 
90 1105 
83 1014 
84 1091 
85 1880 
86 1155 
271 3988 
1896 5056 
2561 6333 
272 5453 
208 4744 
1327 10143 
1535 8423 
836 8394 
2562 12773 
838 12233 
1942 3802 
329 17088 
734 15914 
545 17279 
336 20187 
460 6001 
1200 22162 
755 22711 
837 10931 
900 19039 
2563 25662 
754 19924 
457 17363 
917 26503 
157 31184 
156 31425 
735 15914 
568 27491 
918 41767 
547 41057 
2564 51400 
902 42204 
580 50523 
454 22317 
840 53668 
465 26647 
756 50904 
841 59546 
919 60487 
453 54254 
736 75236 
570 62515 
224 47823 
839 90251 
461 62238 
2565 102863 
582 102043 
549 104754 
572 96528 
901 82497 
738 75236 
551 141966 
455 62900 
584 153563 
574 130528 
1941 44945 
552 179578 
2232 2750 
2566 206063 
576 164537 
284 213896 
586 205083 
740 75194 
742 75204 
578 198542 
452 237759 
588 256603 
554 254780 
920 268032 
744 75204 
283 326852 
590 308123 
746 75204 
556 329983 
592 359635 
2567 412136 
558 405195 
1333 389158 
1335 414305 
236 540022 
235 543160 
899 553562 
560 480404 
921 526566 
2233 2750 
562 555601 
1341 573470 
1337 555374 
1339 586278 
564 630821 
748 53502 
2056 800800 
2234 2750 
566 706030 
2034 846720 
922 913548 
286 777549 
1334 389158 
2376 1273187 
1336 414305 
2237 4203 
750 53502 
1338 555374 
827 1683890 
1342 573470 
1340 586278 
2377 2100225 
2238 4203 
2816 715546 
2243 9270 
2239 4203 
1867 5377761 
1201 5514242 
285 5757273 
2235 18385 
896 8516500 
2244 9270 
2219 31758 
2842 34694738 
2843 65009116 
2844 131383728 
2845 348909033 
