id	myErr	umfErr	ratio	myElaps	umfElaps	ratio	mynnz	umfnnz	ratio	myflop	umfflop	ratio
449	1.38778e-17	2.77556e-17	0.5	0.085045	0.000551	154.347	22	19	1.15789	22	18	1.22222	Pass
185	7.77156e-16	0	Inf	0.056087	0.000412	136.133	36	27	1.33333	100	51	1.96078	Pass
186	1.05471e-15	2.77556e-17	38	0.050512	0.000483	104.58	52	39	1.33333	152	150	1.01333	Pass
1199	5.85781e-14	3.03577e-17	1929.6	0.045678	0.000485	94.1814	144	130	1.10769	284	186	1.52688	Pass
13	9.99201e-16	2.77556e-17	36	0.039888	0.00119	33.5193	168	149	1.12752	299	221	1.35294	Pass
464	9.79522e-16	1.83187e-15	0.534712	0.048679	0.000376	129.465	235	206	1.14078	402	319	1.26019	Pass
97	2.498e-16	8.32667e-17	3	0.044689	0.000373	119.81	132	102	1.29412	301	157	1.9172	Pass
14	2.44249e-15	8.32667e-17	29.3333	0.052753	0.000528	99.911	250	183	1.36612	478	225	2.12444	Pass
1177	3.33067e-16	8.32667e-17	4	0.042029	0.000299	140.565	123	102	1.20588	228	234	0.974359	Pass
232	8.40055e-09	4.85723e-16	1.7295e+07	0.040804	0.000348	117.253	318	282	1.12766	1537	1263	1.21694	Pass
103	1.77636e-15	4.996e-16	3.55556	0.044966	0.000544	82.6581	321	261	1.22989	687	457	1.50328	Pass
133	4.16334e-17	3.46945e-18	12	0.045724	0.000533	85.7861	277	216	1.28241	294	157	1.87261	Pass
462	1.90284e-17	6.66134e-16	0.0285655	0.051895	0.000702	73.9245	396	325	1.21846	814	503	1.61829	Pass
129	1.55431e-15	2.08167e-17	74.6667	0.044476	0.000648	68.6358	368	315	1.16825	1029	709	1.45134	Pass
274	0	0	NaN	0.042557	0.000688	61.8561	280	205	1.36585	498	330	1.50909	Pass
109	2.66454e-15	2.77556e-17	96	0.051743	0.000533	97.0788	360	243	1.48148	1238	448	2.76339	Pass
262	2.11636e-14	7.77156e-16	27.2321	0.042091	0.000601	70.0349	943	586	1.60922	7014	2363	2.96826	Pass
861	1.21431e-16	8.89046e-17	1.36585	0.053541	0.000442	121.133	504	503	1.00199	999	999	1	Pass
172	8.44507e-15	3.70528e-16	22.792	0.053425	0.000496	107.712	493	374	1.31818	2167	1198	1.80885	Pass
132	4.16334e-17	5.20417e-17	0.8	0.045977	0.000481	95.5863	407	272	1.49632	827	365	2.26575	Pass
296	4.39398e-18	6.16911e-17	0.0712256	0.046985	0.000681	68.9941	723	514	1.40661	4853	2266	2.14166	Pass
264	5.55285e-15	1.17165e-17	473.934	0.051532	0.000289	178.311	558	388	1.43814	742	185	4.01081	Pass
106	1.06498e-13	4.11129e-15	25.9038	0.048911	0.000778	62.8676	1254	667	1.88006	12401	3795	3.26772	Pass
318	5.01821e-13	9.78384e-16	512.908	0.05286	0.000479	110.355	638	396	1.61111	1319	543	2.4291	Pass
173	5.55112e-16	0	Inf	0.04768	0.000397	120.101	425	411	1.03406	120	63	1.90476	Pass
263	2.18345e-11	4.996e-16	43704	0.052518	0.000631	83.2298	684	498	1.37349	1762	574	3.06969	Pass
293	5.38024e-14	2.15106e-16	250.121	0.049856	0.000694	71.8386	984	582	1.69072	8810	2697	3.26659	Pass
15	8.88178e-16	2.25514e-17	39.3846	0.05628	0.000935	60.1925	608	512	1.1875	1141	781	1.46095	Pass
334	6.70089e-14	5.44009e-15	12.3176	0.062596	0.001347	46.4707	2034	1565	1.29968	21842	11579	1.88635	Pass
265	3.27418e-11	4.44089e-16	73728	0.048493	0.000689	70.3817	767	589	1.30221	1544	608	2.53947	Pass
11	3.93574e-14	2.92127e-15	13.4727	0.056125	0.000873	64.2898	1033	813	1.2706	6227	4116	1.51288	Pass
188	2.72273e-12	1.72879e-15	1574.94	0.055193	0.001004	54.9731	1348	994	1.35614	10681	5673	1.88278	Pass
136	3.21965e-14	1.22402e-14	2.63039	0.045846	0.000543	84.4309	944	689	1.3701	5686	2683	2.11927	Pass
102	2.06779e-15	1.07553e-16	19.2258	0.050199	0.000579	86.6995	471	315	1.49524	1589	1036	1.53378	Pass
171	2.34838e-15	9.86624e-18	238.022	0.056576	0.000772	73.285	915	644	1.42081	1680	526	3.19392	Pass
2194	0	0	NaN	0.075603	0.000357	211.773	593	592	1.00169	0	0	NaN	Pass
158	1.11022e-15	3.98986e-17	27.8261	0.050043	0.001043	47.9799	928	605	1.53388	2912	824	3.53398	Pass
273	1.1241e-14	1.11022e-16	101.25	0.054368	0.00146	37.2384	1252	956	1.30962	3461	1423	2.43219	Pass
1326	1.7798e-13	4.996e-16	356.246	0.059998	0.00096	62.4979	2535	937	2.70544	56690	3241	17.4915	Pass
108	2.28983e-16	7.63278e-17	3	0.05322	0.00121	43.9835	954	882	1.08163	3845	3814	1.00813	Pass
298	1.60316e-12	5.88451e-17	27243.8	0.064266	0.000823	78.0875	1157	994	1.16398	2631	1983	1.32678	Pass
1195	3.33158e-15	1.11239e-16	29.9497	0.062603	0.000971	64.4727	2571	755	3.4053	47274	1636	28.8961	Pass
118	4.67421e-14	5.0307e-16	92.9138	0.053683	0.001035	51.8676	1844	1091	1.69019	9030	1977	4.56753	Pass
2417	1.21431e-16	4.94396e-17	2.45614	0.044659	0.001201	37.1848	1656	1437	1.1524	5573	3957	1.40839	Pass
1325	7.10095e-14	3.78762e-16	187.478	0.053315	0.001429	37.3093	1908	1363	1.39985	13346	4934	2.7049	Pass
2734	4.20448e-09	6.42056e-15	654845	0.065213	0.001387	47.0173	3362	2389	1.40728	67392	33455	2.01441	Pass
253	2.38419e-07	3.72966e-17	6.39251e+09	0.055206	0.000566	97.5371	487	333	1.46246	1149	581	1.97762	Pass
313	2.47375e-15	1.06991e-15	2.31211	0.059717	0.001411	42.3225	3349	2832	1.18256	34556	24490	1.41102	Pass
2416	0	0	NaN	0.056062	0.002297	24.4066	1852	1637	1.13134	6209	4653	1.33441	Pass
306	2.2482e-15	8.32667e-17	27	0.049765	0.000811	61.3625	1059	992	1.06754	5148	4436	1.1605	Pass
1943	3.48749e-14	1.23165e-16	283.155	0.050868	0.000931	54.638	1099	793	1.38588	9407	4246	2.2155	Pass
323	1.83021e-13	1.52656e-16	1198.92	0.082387	0.001694	48.6346	5071	3371	1.5043	75338	32543	2.31503	Pass
141	9.11903e-08	3.47988e-16	2.6205e+08	0.090337	0.00132	68.4371	4694	1637	2.86744	108919	7585	14.3598	Pass
1630	4.12477e-12	1.04066e-14	396.361	0.064871	0.001753	37.0057	6128	3730	1.6429	118309	45215	2.61659	Pass
239	7.45058e-08	1.11038e-16	6.70996e+08	0.082363	0.001839	44.7868	5160	3578	1.44215	73747	34486	2.13846	Pass
113	0	1.1189e-16	0	0.050197	0.001378	36.4274	1257	1066	1.17917	3655	3621	1.00939	Pass
2338	3.83618e-12	5.85469e-17	65523.2	0.065167	0.000823	79.1823	1919	1194	1.6072	41005	16438	2.49452	Pass
316	8.98587e-16	2.95373e-17	30.4222	0.087243	0.001093	79.8198	2388	1993	1.19819	5554	3979	1.39583	Pass
6	5.37998e-15	1.38778e-17	387.668	0.089735	0.00067	133.933	9159	1071	8.55182	503241	4115	122.294	Pass
93	8.88178e-16	1.22298e-16	7.26241	0.049739	0.000753	66.0544	938	768	1.22135	2597	3120	0.832372	Pass
175	5.55389e-14	1.94289e-16	285.857	0.054296	0.001008	53.8651	1930	1645	1.17325	7809	3955	1.97446	Pass
174	3.13638e-15	8.0231e-18	390.919	0.074421	0.000752	98.9641	2001	1354	1.47784	3331	535	6.22617	Pass
94	5.41234e-16	1.04083e-16	5.2	0.066942	0.001234	54.248	2257	2042	1.10529	12537	12679	0.9888	Pass
1189	4.9576e-15	3.88578e-15	1.27583	0.074803	0.001738	43.0397	4001	1643	2.43518	51277	3487	14.7052	Pass
115	3.53884e-16	7.89299e-17	4.48352	0.054507	0.001681	32.4253	1236	1054	1.17268	2758	2214	1.24571	Pass
119	4.13558e-14	3.88578e-16	106.429	0.06813	0.00213	31.9859	3270	2310	1.41558	25359	12660	2.00308	Pass
95	4.12864e-16	1.80411e-16	2.28846	0.061643	0.002233	27.6055	1956	2043	0.957416	7946	9633	0.824873	Pass
215	2.17756e-11	9.21485e-15	2363.1	0.090423	0.001952	46.3233	6140	3913	1.56913	84548	30640	2.7594	Pass
1198	6.93669e-10	2.77935e-16	2.49579e+06	0.13022	0.001093	119.14	10958	1814	6.04079	396211	4273	92.7243	Pass
2559	1.21825e-11	3.14619e-15	3872.13	0.078355	0.001673	46.835	4987	3227	1.5454	85482	36853	2.31954	Pass
1112	1.16415e-10	3.32284e-17	3.5035e+06	0.072922	0.002239	32.569	3427	2324	1.47461	15825	5881	2.69087	Pass
16	2.47163e-14	1.80411e-16	137	0.054136	0.001532	35.3368	2379	1889	1.2594	10045	7767	1.29329	Pass
1169	9.32232e-10	2.71576e-15	343268	0.059095	0.002407	24.5513	3474	2604	1.3341	15460	7698	2.00831	Pass
17	2.57294e-14	2.13718e-15	12.039	0.073972	0.002663	27.7777	2992	2001	1.49525	10581	3993	2.64989	Pass
117	9.33767e-14	4.85723e-16	192.243	0.06208	0.00227	27.348	3161	2360	1.33941	23881	12865	1.85628	Pass
247	2.89916e-16	0	Inf	0.391675	0.000421	930.344	1968	1687	1.16657	670	0	Inf	Pass
249	1.3314e-16	0	Inf	0.445652	0.000397	1122.55	3175	1712	1.85456	4189	0	Inf	Pass
248	3.6993e-16	0	Inf	0.412973	0.00045	917.718	3400	1726	1.96987	4614	0	Inf	Pass
268	1.63725e-11	2.46095e-17	665291	0.087197	0.001014	85.9931	3417	2088	1.63649	18562	3696	5.02219	Pass
116	4.85029e-13	4.43395e-15	109.39	0.086681	0.002402	36.087	5714	3267	1.74901	95893	27708	3.46084	Pass
1641	2.03748e-12	3.18755e-17	63919.9	0.067932	0.000402	168.985	1747	1746	1.00057	25809	5073	5.08752	Pass
202	4.06952e-13	1.24345e-14	32.7277	0.086224	0.002962	29.1101	7172	7761	0.924108	135220	133050	1.01631	Pass
231	3.24748e-14	2.64145e-15	12.2943	0.070386	0.002684	26.2243	7080	5438	1.30195	86949	47727	1.8218	Pass
96	8.77076e-15	8.93383e-17	98.1748	0.070588	0.002445	28.8703	3352	2454	1.36593	24965	14569	1.71357	Pass
2748	2.11333e-12	1.66212e-14	127.147	0.179844	0.001601	112.332	26385	4637	5.6901	1.98263e+06	56913	34.8362	Pass
884	5.84394e-13	5.42309e-14	10.776	0.09853	0.005199	18.9517	10258	9993	1.02652	294258	301042	0.977465	Pass
335	1.59522e-13	1.11036e-13	1.43666	0.127152	0.00368	34.5522	16419	10887	1.50813	477072	198864	2.39899	Pass
267	5.48916e-12	3.56833e-15	1538.3	0.065067	0.001723	37.7638	6308	3564	1.76992	89633	23193	3.86466	Pass
321	6.40998e-12	1.49524e-17	428694	0.073247	0.001327	55.1974	3040	1996	1.52305	5927	2743	2.16077	Pass
266	1.00291e-11	3.25675e-15	3079.49	0.122827	0.002733	44.9422	15804	9912	1.59443	436953	203079	2.15164	Pass
1639	3.66407e-12	8.34836e-18	438897	0.075452	0.000326	231.448	2235	2196	1.01776	25897	5073	5.10487	Pass
8	1.2591e-13	3.4972e-15	36.003	0.067584	0.002643	25.5709	5381	4341	1.23958	55075	37144	1.48274	Pass
1864	2.70298e-13	1.11022e-16	2434.62	0.227	0.001206	188.226	16421	2325	7.0628	93832	7744	12.1167	Pass
2421	8.12381e-13	2.04212e-14	39.7813	0.069879	0.003568	19.5849	8604	7425	1.15879	105980	80831	1.31113	Pass
2015	5.32003e-13	3.3723e-15	157.757	0.297777	0.005786	51.4651	24274	14484	1.67592	920008	364014	2.5274	Pass
926	2.83671e-12	5.02257e-17	56479.2	0.131797	0.001986	66.363	11879	6851	1.73391	262566	81426	3.2246	Pass
122	6.55032e-14	2.22045e-16	295	0.066861	0.002478	26.9818	4213	3526	1.19484	30761	21152	1.45428	Pass
254	5.32907e-15	0	Inf	0.0665	0.000415	160.241	2663	2454	1.08517	704	0	Inf	Pass
310	3.85077e-13	4.32154e-14	8.91065	0.116517	0.003172	36.733	14335	9269	1.54655	300939	131614	2.28653	Pass
311	2.2927e-15	2.26388e-16	10.1273	0.114484	0.003493	32.7753	13617	9829	1.38539	277886	158563	1.75253	Pass
121	1.35031e-14	2.22045e-16	60.8125	0.08672	0.002862	30.3005	6422	4895	1.31195	66027	39750	1.66106	Pass
100	1.11076e-12	1.66533e-16	6669.92	0.109216	0.002658	41.0895	9716	2976	3.26478	275456	15228	18.0888	Pass
1634	6.58354e-11	2.31898e-14	2838.98	0.142143	0.002426	58.5915	20377	11090	1.83742	635746	217256	2.92625	Pass
149	0.00781584	5.66136e-17	1.38056e+14	0.069677	0.001159	60.1182	3390	3405	0.995595	13613	12818	1.06202	Fail
212	4096	2.24129e-14	1.82752e+17	0.071709	0.001857	38.6155	4888	2933	1.66655	92036	35266	2.60977	Fail
2749	4.33797e-10	8.20605e-15	52863.2	0.331377	0.00267	124.111	59606	5805	10.268	6.59902e+06	58664	112.488	Pass
203	4.28203e-13	5.02376e-14	8.52355	0.105876	0.003143	33.6863	13173	12486	1.05502	287721	270610	1.06323	Pass
929	3.18415e-12	2.09034e-16	15232.7	0.120605	0.002999	40.2151	15077	8663	1.74039	366199	115896	3.15972	Pass
190	4.44748e-09	7.69735e-15	577794	0.222386	0.003447	64.5158	18641	14275	1.30585	650877	371526	1.7519	Pass
269	1.27331e-11	2.38871e-15	5330.54	0.116243	0.003174	36.6235	10718	6299	1.70154	163298	54177	3.01416	Pass
307	1.47105e-15	7.51352e-17	19.5786	0.068497	0.001754	39.0519	3636	2887	1.25944	17534	10923	1.60524	Pass
2718	3.76371e-13	3.40309e-15	110.597	0.103209	0.002908	35.4914	10700	8024	1.3335	160845	81898	1.96397	Pass
295	1.01043e-17	8.95009e-17	0.112897	0.105889	0.002953	35.8581	10533	7314	1.44011	163180	79174	2.06103	Pass
98	2.93522e-13	2.94903e-15	99.5318	0.103527	0.002601	39.8028	9430	4157	2.26846	197928	42059	4.70596	Pass
1627	1.18256e-06	2.22045e-16	5.32576e+09	0.094381	0.00393	24.0155	5721	5313	1.07679	26294	22359	1.17599	Pass
124	2.0095e-14	3.70537e-15	5.42322	0.165474	0.003723	44.4464	4524	5061	0.893894	27274	43329	0.629463	Pass
255	1.02558e-13	8.1532e-16	125.789	0.092158	0.001386	66.4921	5352	3721	1.43832	36519	9743	3.74823	Pass
99	5.05397e-13	7.82707e-15	64.5703	0.127906	0.002636	48.5228	12813	6145	2.08511	388865	89529	4.34345	Pass
824	7.32605e-14	7.4943e-15	9.7755	0.113619	0.002585	43.9532	9958	6799	1.46463	253714	120008	2.11414	Pass
126	2.24265e-14	1.8735e-16	119.704	0.097868	0.003084	31.7341	4628	3791	1.22079	18140	13647	1.32923	Pass
256	9.35845e-14	9.63639e-16	97.1158	0.114179	0.00178	64.1455	5542	4084	1.357	42853	14460	2.96355	Pass
2560	1.79467e-10	5.24754e-15	34200.2	0.142178	0.002453	57.9609	11028	7533	1.46396	187722	97631	1.92277	Pass
123	3.51802e-13	1.79093e-14	19.6435	0.128995	0.003407	37.8618	13752	8679	1.58451	348823	156801	2.22462	Pass
82	6.66581e-17	0	Inf	0.235739	0.000435	541.929	4479	3276	1.36722	3670	0	Inf	Pass
257	1.53702e-13	1.36154e-15	112.888	0.118576	0.002251	52.677	7081	4864	1.4558	88126	31008	2.84204	Pass
328	2.13623e-06	5.874e-17	3.63675e+10	0.133972	0.004802	27.8992	6267	5954	1.05257	25646	23059	1.11219	Pass
234	2.25093e-09	1.30104e-16	1.7301e+07	0.110765	0.002712	40.8426	9908	8798	1.12617	109170	88264	1.23686	Pass
2691	3.66418e-12	4.60336e-15	795.979	0.311049	0.002681	116.02	35658	8803	4.05066	2.86983e+06	107943	26.5866	Pass
114	2.83801e-15	2.11636e-16	13.4098	0.09964	0.003803	26.2004	2552	2044	1.24853	13015	10400	1.25144	Pass
128	6.07014e-14	7.21645e-16	84.1154	0.089323	0.0032	27.9134	4940	4178	1.18238	29315	21958	1.33505	Pass
270	4.57723e-12	3.9141e-17	116942	0.087784	0.003493	25.1314	6742	4689	1.43783	21084	9149	2.30451	Pass
1637	3.66407e-12	2.83248e-18	1.29359e+06	0.081952	0.000693	118.257	3585	3546	1.011	25897	5073	5.10487	Pass
125	1.05305e-13	7.35523e-16	143.17	0.091792	0.00502	18.2853	7992	11416	0.70007	73587	216930	0.33922	Pass
2429	4.23682e-13	1.64914e-15	256.911	0.140895	0.005956	23.656	18186	10376	1.7527	400498	99868	4.01027	Pass
292	1.21785e-12	2.04562e-16	5953.46	0.117501	0.00331	35.4988	12843	8234	1.55975	236870	98002	2.41699	Pass
240	5.06302e-15	4.26881e-16	11.8605	0.226722	0.004044	56.0638	36471	18178	2.00633	1.91063e+06	474470	4.02688	Pass
251	1.86938e-07	8.03796e-16	2.32569e+08	0.12983	0.00244	53.209	15962	8237	1.93784	736496	209976	3.50752	Pass
245	3.55898e-14	2.24213e-16	158.732	0.178671	0.003874	46.1205	24727	14094	1.75443	789833	249213	3.16931	Pass
87	9.10383e-14	1.92717e-17	4723.94	0.304614	0.001356	224.642	8454	4094	2.06497	43055	2216	19.4292	Pass
101	9.0493e-13	1.84713e-14	48.991	0.151105	0.006382	23.6767	22766	18961	1.20068	1.01515e+06	584464	1.73689	Pass
308	1.55084e-15	7.34005e-17	21.1285	0.083486	0.002457	33.9788	4662	3911	1.19202	19230	12587	1.52777	Pass
204	1.60468e-12	2.69743e-13	5.94894	0.146743	0.005639	26.0229	22715	23650	0.960465	662369	540055	1.22648	Pass
2750	1.50728e-07	9.77531e-15	1.54192e+07	0.50347	0.00549	91.7067	81956	8559	9.57542	1.07234e+07	97254	110.262	Pass
280	1.81751e-09	6.01949e-15	301938	0.167184	0.003859	43.3231	24873	15420	1.61304	555438	193780	2.86633	Pass
319	1.91003e-11	1.11022e-16	172040	0.090218	0.001828	49.3534	6040	3996	1.51151	11677	5493	2.1258	Pass
88	1.08552e-13	5.60533e-17	1936.59	0.281977	0.001932	145.951	20967	4822	4.3482	481694	6485	74.2782	Pass
