id	myErr	matlabErr	ratio	myElaps	matlabElaps	ratio	mynnz	matlabnnz	ratio	myflop	matlabflop	ratio
449	1.38778e-17	2.77556e-17	0.5	0.096807	0.238895	0.405228	21	19	1.10526	20	18	1.11111	Pass
185	7.77156e-16	0	Inf	0.049359	0.017854	2.76459	36	27	1.33333	100	51	1.96078	Pass
186	1.05471e-15	0	Inf	0.046844	0.000369	126.949	52	40	1.3	152	78	1.94872	Pass
1199	5.72042e-14	3.03577e-17	1884.34	0.044322	0.000355	124.851	154	130	1.18462	351	186	1.8871	Pass
13	3.10862e-15	2.77556e-17	112	0.047842	0.001769	27.0447	187	149	1.25503	330	221	1.49321	Pass
464	1.40025e-15	1.83187e-15	0.764382	0.047091	0.000453	103.954	240	206	1.16505	430	319	1.34796	Pass
97	3.88578e-16	8.32667e-17	4.66667	0.047556	0.000356	133.584	130	102	1.27451	316	157	2.01274	Pass
14	1.66533e-15	8.32667e-17	20	0.036089	0.000255	141.525	247	183	1.34973	453	225	2.01333	Pass
1177	3.05311e-16	8.32667e-17	3.66667	0.037427	0.00025	149.708	119	102	1.16667	247	234	1.05556	Pass
232	8.40055e-09	4.44333e-16	1.8906e+07	0.035227	0.000276	127.634	314	260	1.20769	1481	947	1.56389	Pass
103	2.33147e-15	4.996e-16	4.66667	0.035848	0.000289	124.042	326	261	1.24904	730	457	1.59737	Pass
133	2.08167e-17	3.46945e-18	6	0.040948	0.000442	92.6425	262	216	1.21296	267	157	1.70064	Pass
462	1.02524e-17	6.66134e-16	0.015391	0.034017	0.000381	89.2835	394	325	1.21231	804	503	1.59841	Pass
129	2.35922e-16	2.08167e-17	11.3333	0.030236	0.000328	92.1829	352	315	1.11746	894	709	1.26093	Pass
274	0	0	NaN	0.04202	0.000507	82.8797	285	205	1.39024	502	330	1.52121	Pass
109	4.21885e-15	2.77556e-17	152	0.043376	0.000441	98.3583	355	243	1.46091	1129	448	2.52009	Pass
262	4.56033e-14	7.77156e-16	58.6797	0.042142	0.000512	82.3086	918	586	1.56655	6703	2363	2.83665	Pass
861	1.21431e-16	8.89046e-17	1.36585	0.044393	0.0004	110.983	504	503	1.00199	999	999	1	Pass
172	5.34298e-15	3.70528e-16	14.4199	0.039933	0.000384	103.992	478	374	1.27807	1996	1198	1.66611	Pass
132	8.32667e-17	5.20417e-17	1.6	0.046567	0.000509	91.4872	365	272	1.34191	644	365	1.76438	Pass
296	9.61806e-19	6.16911e-17	0.0155907	0.043895	0.000518	84.7394	692	514	1.3463	4100	2266	1.80936	Pass
264	3.33414e-15	1.17165e-17	284.568	0.047177	0.000365	129.252	516	388	1.3299	610	185	3.2973	Pass
106	7.11792e-14	4.11129e-15	17.3131	0.048055	0.000537	89.4879	1360	667	2.03898	15516	3795	4.08854	Pass
318	5.01821e-13	1.80045e-17	27871.9	0.043548	0.000377	115.512	638	398	1.60302	1319	546	2.41575	Pass
173	5.55112e-16	0	Inf	0.042675	0.000272	156.893	425	411	1.03406	120	63	1.90476	Pass
263	2.54725e-11	4.996e-16	50985.8	0.042483	0.000562	75.5925	684	498	1.37349	1751	574	3.05052	Pass
293	1.61047e-13	2.15106e-16	748.688	0.046754	0.000531	88.049	988	582	1.69759	9473	2697	3.51242	Pass
