id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
449,15,1.38778e-17,2.77556e-17,-0.693147,7.21738e-05,0.001572,0.0459121,20,19,1.05263,18,18,1,Pass
185,50,7.77156e-16,0,Inf,0.000166565,0.000419,0.39753,36,27,1.33333,247,116,2.12931,Pass
186,76,1.05471e-15,2.77556e-17,3.63759,0.000128128,0.000209,0.613053,52,39,1.33333,546,303,1.80198,Pass
1199,98,1.473e-06,3.03577e-17,24.6053,0.000265442,0.000402,0.660303,169,130,1.3,423,197,2.14721,Pass
13,131,1.55431e-15,2.77556e-17,4.02535,0.000218131,0.0004,0.545327,174,149,1.16779,430,353,1.21813,Pass
464,144,1.95244e-06,1.83187e-15,20.787,0.000244334,0.000403,0.606288,233,206,1.13107,442,336,1.31548,Pass
97,160,2.498e-16,8.32667e-17,1.09861,0.000253715,0.000292,0.868887,123,102,1.20588,1421,1172,1.21246,Pass
14,167,1.22125e-15,8.32667e-17,2.68558,0.000308543,0.000483,0.638805,230,183,1.25683,709,557,1.27289,Pass
1177,169,3.88578e-16,8.32667e-17,1.54045,0.000315972,0.000513,0.61593,133,102,1.30392,1918,1422,1.3488,Pass
232,180,6.9124e-06,4.85723e-16,23.3787,0.000330158,0.000369,0.894737,305,282,1.08156,1375,1263,1.08868,Pass
103,218,5.32907e-15,4.996e-16,2.36712,0.000502907,0.000447,1.12507,322,261,1.23372,1111,731,1.51984,Pass
133,222,2.08167e-17,3.46945e-18,1.79176,0.000365481,0.000385,0.949301,248,216,1.14815,624,566,1.10247,Pass
462,188,3.64789e-06,6.10623e-16,22.5107,0.000422753,0.000591,0.715318,339,284,1.19366,802,494,1.62348,Pass
129,267,3.55271e-15,2.08167e-17,5.13971,0.000482604,0.000753,0.640908,375,315,1.19048,2304,1903,1.21072,Pass
274,281,0,0,NaN,0.000325464,0.000417,0.780489,299,205,1.45854,1615,873,1.84994,Pass
109,291,4.46865e-15,2.77556e-17,5.0814,0.000320494,0.000466,0.687755,340,243,1.39918,2930,1660,1.76506,Pass
262,292,7.43293e-06,1.44329e-15,22.3623,0.0004398,0.000598,0.735452,972,631,1.54041,8325,3060,2.72059,Pass
861,306,3.07636e-06,8.89046e-17,24.2672,0.00046809,0.000502,0.93245,504,503,1.00199,999,999,1,Pass
172,196,1.60714e-06,7.4721e-17,23.7917,0.000282101,0.000353,0.799153,327,299,1.09365,1390,1194,1.16415,Pass
132,320,6.93889e-17,5.20417e-17,0.287682,0.000415392,0.000455,0.912949,311,272,1.14338,857,725,1.18207,Pass
296,211,1.74925e-06,1.249e-16,23.3627,0.000330508,0.000351,0.941618,452,329,1.37386,3627,1657,2.1889,Pass
264,63,1.7354e-06,5.58591e-17,24.1594,0.000262536,0.000335,0.78369,107,89,1.20225,221,135,1.63704,Pass
106,377,1.68308e-13,4.11129e-15,3.71206,0.000683069,0.001062,0.643191,1235,667,1.85157,17473,4337,4.02882,Pass
318,396,9.22371e-07,9.78384e-16,20.6643,0.000542291,0.000418,1.29735,402,396,1.01515,555,543,1.0221,Pass
173,16,0,0,NaN,7.23898e-05,0.000214,0.33827,16,19,0.842105,21,20,1.05,Pass
263,250,4.75407e-06,4.996e-16,22.9762,0.000643402,0.000509,1.26405,413,335,1.23284,1021,533,1.91557,Pass
293,275,4.48774e-06,5.58581e-16,22.807,0.000461735,0.000508,0.908927,560,359,1.55989,5287,1854,2.85167,Pass
15,476,4.44089e-16,2.25514e-17,2.98023,0.000525549,0.001067,0.492548,641,512,1.25195,3328,2139,1.55587,Pass
334,467,4.66777e-06,5.05151e-15,20.6443,0.000936195,0.000892,1.04955,1833,1487,1.23268,17306,10467,1.65339,Pass
265,250,4.22307e-06,4.44089e-16,22.9756,0.000383146,0.000557,0.687874,432,333,1.2973,1160,528,2.19697,Pass
11,523,1.40998e-14,2.92127e-15,1.57414,0.000584327,0.000995,0.587263,950,813,1.16851,8566,8731,0.981102,Pass
188,297,3.40079e-06,1.33472e-15,21.6586,0.000560537,0.000831,0.674533,983,747,1.31593,10947,5847,1.87224,Pass
136,541,3.49443e-14,1.22402e-14,1.04903,0.000610419,0.000589,1.03637,902,689,1.30914,6170,3535,1.7454,Pass
102,557,1.29063e-15,1.07553e-16,2.48491,0.000565387,0.000469,1.20552,458,315,1.45397,13055,4020,3.24751,Pass
171,76,2.92052e-06,1.11022e-16,23.9931,0.000296831,0.000344,0.862881,100,93,1.07527,134,135,0.992593,Pass
2194,1,2e-07,0,Inf,4.88982e-05,0.000417,0.117262,2,1,2,0,0,NaN,Pass
158,527,6.52256e-16,4.51028e-17,2.67149,0.000753097,0.001013,0.743432,704,478,1.4728,7126,2062,3.45587,Pass
273,667,6.53644e-15,2.77556e-16,3.15913,0.000985138,0.001076,0.915556,1192,1015,1.17438,15361,9068,1.69398,Pass
1326,60,1.65593e-06,2.22046e-16,22.7325,0.000184715,0.000257,0.718735,111,73,1.52055,442,149,2.96644,Pass
108,768,3.33067e-16,7.63278e-17,1.47331,0.00117151,0.001391,0.842207,923,882,1.04649,38468,31958,1.2037,Pass
298,796,3.1643e-06,5.88451e-17,24.708,0.00061924,0.000502,1.23355,1131,994,1.13783,2528,1983,1.27484,Pass
1195,588,7.12796e-06,1.11023e-16,24.8853,0.000809528,0.000893,0.906526,761,678,1.12242,1999,1602,1.24782,Pass
118,441,2.7818e-13,8.06646e-17,8.14572,0.000865974,0.000897,0.965411,1373,638,2.15204,12379,3313,3.73649,Pass
2417,420,2.30371e-15,4.68375e-17,3.89559,0.000869684,0.001107,0.785622,878,838,1.04773,10118,12655,0.799526,Pass
